"범죄별(1)",범죄별(2),범죄별(3),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"범죄별(1)",범죄별(2),범죄별(3),합계,전과없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,14851,3091,2451,739,426,253,183,120,91,83,65,491,9309
"특별법범",조세범처벌법,소계,3390,352,1547,231,171,161,129,92,78,66,75,544,1491
"특별법범",주민등록법,소계,2273,1164,624,169,85,75,42,43,23,28,14,145,485
"특별법범",주차장법,소계,109,25,60,19,10,10,5,5,4,-,-,7,24
"특별법범",주택법,소계,787,243,255,72,40,39,15,16,16,7,3,47,289
"특별법범",중대재해처벌등에관한법률,소계,69,5,9,1,3,2,2,1,-,-,-,-,55
"특별법범",직업안정법,소계,308,50,166,25,22,19,21,15,10,10,9,35,92
"특별법범",집회및시위에관한법률,소계,615,117,299,55,49,26,20,27,21,10,9,82,199
"특별법범",청소년보호법,소계,8534,3993,2827,1072,593,338,213,155,95,83,58,220,1714
"특별법범",총포?도검?화약류등의안전관리에관한법률,소계,507,193,229,62,39,20,29,15,11,9,15,29,85
"특별법범",최저임금법,소계,253,9,35,5,7,6,3,4,2,3,1,4,209
"특별법범",축산물위생관리법,소계,386,99,136,40,17,17,17,7,4,5,6,23,151
"특별법범",출입국관리법,소계,2231,939,583,143,96,55,56,39,29,21,24,120,709
"특별법범",통신비밀보호법,소계,350,100,62,38,9,3,4,1,2,2,-,3,188
"특별법범",특가법(도주차량),소계,7864,1692,3397,799,545,429,291,227,186,135,98,687,2775
"특별법범",특허법,소계,208,18,7,4,-,-,2,1,-,-,-,-,183
"특별법범",폐기물관리법,소계,2257,275,1079,144,121,114,77,90,56,50,32,395,903
"특별법범",풍속영업의규제에관한법률,소계,128,27,82,18,11,13,8,4,7,5,1,15,19
"특별법범",하천법,소계,135,23,87,18,13,11,6,6,3,3,7,20,25
"특별법범",학교보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",학원의설립운영및과외교습에관한법률,소계,255,180,43,26,6,3,3,-,1,-,1,3,32
"특별법범",화물자동차운수사업법,소계,1534,451,806,208,136,126,78,69,40,31,24,94,277
"특별법범",화재로인한재해보상과보험가입에관한법률,소계,8,1,6,-,3,-,2,-,-,-,-,1,1
"특별법범",화재의예방및안전에관한법률/소방시설설치및관리에관한법률,소계,857,71,147,36,19,15,17,16,7,3,4,30,639
"특별법범",화학물질관리법,소계,514,58,214,37,28,19,14,13,16,5,8,74,242
"특별법범",기타특별법,소계,50430,12899,26607,6577,4284,3119,2210,1754,1411,1004,857,5391,10924
