year,crime_lvl1,crime_lvl2,crime_lvl3,group,detail,count
2023,형법범,과실범죄,과실치사상,전과없음,소계,833
2023,형법범,과실범죄,업무상과실치사상,전과없음,소계,1719
2023,형법범,과실범죄,실화,전과없음,소계,900
2023,형법범,기타형법범죄,소계,전과없음,소계,17382
2023,형법범,기타형법범죄,명예,전과없음,소계,6086
2023,형법범,기타형법범죄,권리행사방해,전과없음,소계,631
2023,형법범,기타형법범죄,신용업무경매,전과없음,소계,3211
2023,형법범,기타형법범죄,주거침입,전과없음,소계,3667
2023,형법범,기타형법범죄,비밀침해,전과없음,소계,22
2023,형법범,기타형법범죄,유기,전과없음,소계,147
2023,형법범,기타형법범죄,교통방해,전과없음,소계,258
2023,형법범,기타형법범죄,공무방해,전과없음,소계,2371
2023,형법범,기타형법범죄,도주와범인은닉,전과없음,소계,169
2023,형법범,기타형법범죄,위증과증거인멸,전과없음,소계,122
2023,형법범,기타형법범죄,무고,전과없음,소계,455
2023,형법범,기타형법범죄,공안을해하는죄,전과없음,소계,242
2023,형법범,기타형법범죄,음용수에관한죄,전과없음,소계,1
2023,특별법범,소계,소계,전과없음,소계,160769
2023,특별법범,가정폭력범죄의처벌등에관한특례법,소계,전과없음,소계,198
2023,특별법범,가축분뇨의관리및이용에관한법률,소계,전과없음,소계,112
2023,특별법범,감염병의예방및관리에관한법률,소계,전과없음,소계,2319
2023,특별법범,개발제한구역의지정및관리에관한특별조치법,소계,전과없음,소계,75
2023,특별법범,개인정보보호법,소계,전과없음,소계,724
2023,특별법범,건강기능식품에관한법률,소계,전과없음,소계,95
2023,특별법범,건설기계관리법,소계,전과없음,소계,58
2023,특별법범,건설산업기본법,소계,전과없음,소계,266
2023,특별법범,건축법,소계,전과없음,소계,713
2023,특별법범,게임산업진흥에관한법률,소계,전과없음,소계,1060
2023,특별법범,결혼중개업의관리에관한법률,소계,전과없음,소계,10
2023,특별법범,경범죄처벌법,소계,전과없음,소계,1366
2023,특별법범,고용보험법,소계,전과없음,소계,681
2023,특별법범,공유수면관리및매립에관한법률,소계,전과없음,소계,34
2023,특별법범,공유재산및물품관리법,소계,전과없음,소계,13
2023,특별법범,공인중개사법,소계,전과없음,소계,1314
2023,특별법범,공중위생관리법,소계,전과없음,소계,822
2023,특별법범,공직선거법,소계,전과없음,소계,20
2023,특별법범,관세법,소계,전과없음,소계,38
2023,특별법범,교통사고처리특례법,소계,전과없음,소계,26173
2023,특별법범,국가기술자격법,소계,전과없음,소계,40
2023,특별법범,국가보안법,소계,전과없음,소계,9
2023,특별법범,국민체육진흥법,소계,전과없음,소계,79
2023,특별법범,국토의계획및이용에관한법률,소계,전과없음,소계,349
2023,특별법범,근로기준법,소계,전과없음,소계,874
2023,특별법범,근로자퇴직급여보장법,소계,전과없음,소계,189
2023,특별법범,낚시관리및육성법,소계,전과없음,소계,25
2023,특별법범,노동조합및노동관계조정법,소계,전과없음,소계,33
2023,특별법범,농수산물유통및가격안정에관한법률,소계,전과없음,소계,53
2023,특별법범,농수산물의원산지표시등에관한법률,소계,전과없음,소계,303
2023,특별법범,농지법,소계,전과없음,소계,205
2023,특별법범,대기환경보전법,소계,전과없음,소계,358
2023,특별법범,대부업등의등록및금융이용자보호에관한법률,소계,전과없음,소계,283
2023,특별법범,도로교통법,소계,전과없음,소계,3055
2023,특별법범,도로교통법(무면허운전),소계,전과없음,소계,5626
2023,특별법범,도로교통법(사고후미조치),소계,전과없음,소계,1609
2023,특별법범,도로교통법(음주운전),소계,전과없음,소계,35606
2023,특별법범,도로교통법(음주측정거부),소계,전과없음,소계,620
2023,특별법범,도로법,소계,전과없음,소계,1153
2023,특별법범,도시및주거환경정비법,소계,전과없음,소계,154
2023,특별법범,독점규제및공정거래에관한법률,소계,전과없음,소계,5
2023,특별법범,디자인보호법,소계,전과없음,소계,16
2023,특별법범,마약류관리에관한법률(대마),소계,전과없음,소계,894
2023,특별법범,마약류관리에관한법률(마약),소계,전과없음,소계,2359
2023,특별법범,마약류관리에관한법률(향정),소계,전과없음,소계,4574
2023,특별법범,물환경보전법,소계,전과없음,소계,116
2023,특별법범,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,전과없음,소계,46
2023,특별법범,범죄수익은닉의규제및처벌등에관한법률,소계,전과없음,소계,58
2023,특별법범,변호사법,소계,전과없음,소계,49
2023,특별법범,병역법,소계,전과없음,소계,2908
